"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","RECTD","ATT","YDS","RUSHTD","FL","G","FPTS","FPTS/G","ROST"
"219","Keilahn Harris (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Daniel Arias (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Duece Watts (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Malik Heath (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"223","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Treylon Burks (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.1%"
"225","John Metchie III (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"226","Frank Darby (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Dee Eskridge (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Austin Watkins Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Dax Milne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Cade Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Cornell Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Ben Skowronek (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"235","Jacob Copeland (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Jayden Reed (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.3%"
"237","Ronnie Bell (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"238","Rakim Jarrett (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"239","Kearis Jackson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","George Pickens (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.0%"
"241","Kayshon Boutte (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"242","Braylon Sanders (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Calvin Austin III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"244","Michael Woods II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Christian Watson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.1%"
"246","Samori Toure (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"247","Romeo Doubs (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.6%"
"248","Joseph Ngata (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Erik Ezukanma (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"250","Danny Gray (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Jalen Virgil (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
