RK,NAME,TEAM,POS,WK,OPP,RECEIVING_TGTS,RECEIVING_REC,CATCH%,RECEIVING_YDS,RECEIVING_TD,LONG,YDS/TGT,YDS/REC,RUSHING_ATT,RUSHING_YDS,RUSHING_AVG,RUSHING_TD,FUMBLES,FUMBLES_LOST,FPTS
24,Zach Ertz,WAS,TE,3,LV,3,3,100.0,38,0,19,12.7,12.7,0,0,,0,0,0,6.8
25,Travis Kelce,KC,TE,3,NYG,7,4,57.1,26,0,13,3.7,6.5,0,0,,0,0,0,6.6
26,Tucker Kraft,GB,TE,3,CLE,4,3,75.0,29,0,18,7.2,9.7,0,0,,0,0,0,5.9
27,Mason Taylor,NYJ,TE,3,TB,6,4,66.7,18,0,10,3.0,4.5,0,0,,0,0,0,5.8
28,Gunnar Helm,TEN,TE,3,IND,3,3,100.0,27,0,11,9.0,9.0,0,0,,0,0,0,5.7
29,Noah Fant,CIN,TE,3,MIN,5,5,100.0,26,0,10,5.2,5.2,0,0,,0,1,1,5.6
30,Harold Fannin Jr.,CLE,TE,3,GB,4,3,75.0,25,0,13,6.2,8.3,0,0,,0,0,0,5.5
31,Jonnu Smith,PIT,TE,3,NE,3,3,100.0,23,0,21,7.7,7.7,0,0,,0,1,0,5.3
32,Austin Hooper,NE,TE,3,PIT,3,2,66.7,28,0,16,9.3,14.0,0,0,,0,0,0,4.8
33,Noah Gray,KC,TE,3,NYG,6,3,50.0,17,0,10,2.8,5.7,0,0,,0,0,0,4.7
34,Charlie Kolar,BAL,TE,3,DET,3,2,66.7,22,0,15,7.3,11.0,0,0,,0,0,0,4.2
35,Colston Loveland,CHI,TE,3,DAL,3,1,33.3,31,0,31,10.3,31.0,0,0,,0,0,0,4.1
36,Jake Tonges,SF,TE,3,ARI,3,2,66.7,21,0,11,7.0,10.5,0,0,,0,0,0,4.1
37,Tommy Tremble,CAR,TE,3,ATL,2,2,100.0,16,0,12,8.0,8.0,0,0,,0,0,0,3.6
38,AJ Barner,SEA,TE,3,NO,1,1,100.0,23,0,23,23.0,23.0,0,0,,0,0,0,3.3
39,Hunter Long,JAX,TE,3,HOU,3,2,66.7,12,0,7,4.0,6.0,0,0,,0,0,0,3.2
40,Ja'Tavion Sanders,CAR,TE,3,ATL,2,2,100.0,11,0,7,5.5,5.5,0,0,,0,0,0,3.1
41,Tip Reiman,ARI,TE,3,SF,3,2,66.7,8,0,6,2.7,4.0,0,0,,0,0,0,2.8
42,Tanner Conner,MIA,TE,3,BUF,2,1,50.0,13,0,13,6.5,13.0,0,0,,0,0,0,2.3
43,Eric Saubert,SEA,TE,3,NO,1,1,100.0,12,0,12,12.0,12.0,0,0,,0,0,0,2.2
44,Theo Johnson,NYG,TE,3,KC,2,1,50.0,10,0,10,5.0,10.0,0,0,,0,0,0,2.0
45,Mitchell Evans,CAR,TE,3,ATL,1,1,100.0,9,0,9,9.0,9.0,0,0,,0,0,0,1.9
46,Lucas Krull,DEN,TE,3,LAC,2,1,50.0,9,0,9,4.5,9.0,0,0,,0,0,0,1.9
